latitude,longitude,timestamp
-39.5198,-142.5432,1769253712
-39.8254,-142.035,1769253720
-40.2034,-141.3937,1769253730
-40.4655,-140.9405,1769253737
-40.7255,-140.4836,1769253744
-41.0385,-139.9237,1769253752
-41.2939,-139.4582,1769253759
-41.5653,-138.9551,1769253767
-42.3293,-137.4877,1769253788
-42.5734,-137.002,1769253795
-42.8151,-136.5122,1769253802
-43.1054,-135.9122,1769253811
-43.3755,-135.3417,1769253819
-43.7084,-134.6214,1769253829
-44.8169,-132.071,1769253863
-45.034,-131.5409,1769253871
-45.2635,-130.9683,1769253878
-45.4748,-130.4295,1769253885
-45.6833,-129.8865,1769253892
-46.3055,-128.1916,1769253914
-46.502,-127.6312,1769253921
-46.6954,-127.0664,1769253928
-47.2698,-125.306,1769253949
-47.5266,-124.4737,1769253959
-47.7025,-123.8858,1769253966
-47.8628,-123.3364,1769253973
-48.0321,-122.7408,1769253980
-48.1981,-122.141,1769253987
-48.3605,-121.5373,1769253994
-48.5865,-120.6679,1769254004
-48.7404,-120.0544,1769254011
-49.1904,-118.1461,1769254032
-49.3294,-117.5173,1769254039
-49.4646,-116.8847,1769254046
-49.596,-116.2486,1769254053
-49.7325,-115.563,1769254061
-49.8732,-114.8273,1769254069
-49.9921,-114.1801,1769254076
-50.1071,-113.5294,1769254083
-50.2258,-112.8287,1769254090
-50.3325,-112.1715,1769254097
-50.4351,-111.5112,1769254105
-50.5266,-110.8955,1769254111
-50.9527,-107.5882,1769254146
-51.0214,-106.9585,1769254152
-51.2266,-104.8133,1769254174
-51.2906,-104.0285,1769254182
-51.3383,-103.3892,1769254189
-51.4044,-102.4032,1769254199
-51.4535,-101.5623,1769254207
-51.5874,-98.0365,1769254243
-51.6043,-97.0402,1769254253
-51.6117,-96.1431,1769254262
-51.6123,-95.4452,1769254269
-51.6079,-94.6976,1769254276
-51.595,-93.7508,1769254286
-51.5802,-93.0537,1769254293
-51.5578,-92.2576,1769254301
-51.5353,-91.6117,1769254307
-51.5023,-90.8176,1769254315
-51.4686,-90.1237,1769254322
-51.4334,-89.4804,1769254329
-51.3912,-88.7887,1769254336
-51.3445,-88.0985,1769254343
-51.2973,-87.4591,1769254350
-51.2422,-86.7719,1769254357
-51.1827,-86.0866,1769254364
-51.1188,-85.4032,1769254371
-51.0557,-84.7704,1769254377
-50.9071,-83.4137,1769254391
-50.8261,-82.7359,1769254398
-50.7349,-82.0157,1769254406
-50.6323,-81.2509,1769254414
-50.545,-80.632,1769254420
-50.4326,-79.8733,1769254428
-50.3299,-79.2129,1769254435
-50.2152,-78.5084,1769254443
-50.0471,-77.5285,1769254453
-49.8786,-76.6022,1769254463
-49.7469,-75.9118,1769254471
-49.6201,-75.2711,1769254478
-49.4703,-74.5431,1769254486
-49.345,-73.9551,1769254492
-49.2063,-73.3254,1769254499
-49.0432,-72.6096,1769254507
-48.886,-71.9436,1769254515
-48.7354,-71.3258,1769254522
-48.5142,-70.4506,1769254532
-48.3666,-69.8859,1769254538
-48.2042,-69.2817,1769254545
-48.0383,-68.6816,1769254553
-47.869,-68.0854,1769254560
-47.7087,-67.5355,1769254566
-47.4566,-66.6966,1769254576
-47.2761,-66.1145,1769254583
-46.688,-64.312,1769254605
-46.4944,-63.7472,1769254612
-46.2836,-63.1469,1769254620
-45.8808,-62.0392,1769254634
-45.6453,-61.4138,1769254642
-45.3608,-60.6785,1769254651
-45.1019,-60.0272,1769254660
-44.87,-59.4577,1769254667
-44.6506,-58.9304,1769254674
-44.3327,-58.1844,1769254684
-44.1232,-57.7043,1769254691
-43.895,-57.1911,1769254698
-43.6809,-56.7183,1769254704
-43.4143,-56.1411,1769254712
-43.1953,-55.6763,1769254719
-42.9572,-55.1798,1769254726
-42.7167,-54.6872,1769254733
-42.3865,-54.0252,1769254742
-42.1052,-53.4734,1769254750
-41.8565,-52.9948,1769254757
-41.5155,-52.3515,1769254767
-41.2252,-51.8155,1769254775
-40.9506,-51.3176,1769254783
-40.6921,-50.8569,1769254790
-40.4316,-50.4,1769254797
-39.1374,-48.2329,1769254831
-38.2764,-46.8762,1769254853
-37.9988,-46.4518,1769254860
-37.7394,-46.0608,1769254866
-37.4583,-45.6428,1769254873
-37.1351,-45.1693,1769254881
-36.8301,-44.7293,1769254889
-36.5438,-44.3221,1769254896
-36.2766,-43.9469,1769254902
-35.9458,-43.4889,1769254910
-35.6547,-43.0914,1769254917
-35.3831,-42.7251,1769254924
-34.4543,-41.5047,1769254946
-34.0274,-40.9595,1769254956
-33.7483,-40.6082,1769254962
-33.4467,-40.2328,1769254969
-33.1437,-39.8602,1769254976
-32.8613,-39.5168,1769254983
-32.5559,-39.1496,1769254990
-32.1395,-38.6555,1769254999
-31.8312,-38.2945,1769255006
-31.3886,-37.7833,1769255017
-31.0997,-37.4538,1769255023
-30.6533,-36.9511,1769255033
-30.3395,-36.6022,1769255040
-29.9118,-36.1325,1769255050
-28.9139,-35.0614,1769255072
-28.4571,-34.582,1769255082
-28.0901,-34.2016,1769255090
-27.7911,-33.8947,1769255096
-25.4881,-31.6151,1769255146
-25.0178,-31.1664,1769255156
-24.3802,-30.5666,1769255169
-24.0486,-30.2582,1769255176
-23.5734,-29.8206,1769255186
-23.2637,-29.538,1769255193
-22.5947,-28.9342,1769255207
-22.2591,-28.6347,1769255214
-21.947,-28.358,1769255220
-21.562,-28.0192,1769255228
-21.2485,-27.7455,1769255235
-20.9104,-27.4521,1769255242
-20.2324,-26.8697,1769255256
-19.9168,-26.6012,1769255263
-19.5764,-26.3133,1769255270
-18.5027,-25.417,1769255292
-18.1845,-25.1546,1769255298
-17.7922,-24.8331,1769255306
-17.3255,-24.4532,1769255316
-16.9565,-24.1549,1769255323
-16.2663,-23.6014,1769255337
-15.8957,-23.3067,1769255345
-15.2026,-22.7595,1769255359
-14.8554,-22.4875,1769255366
-14.5328,-22.2358,1769255372
-14.185,-21.9656,1769255379
-13.8614,-21.7154,1769255386
-13.3633,-21.3322,1769255396
-13.0141,-21.0649,1769255403
-12.5894,-20.7413,1769255411
-12.0894,-20.3622,1769255421
-11.7391,-20.098,1769255428
-11.3884,-19.8344,1769255435
-11.0375,-19.5715,1769255442
-10.7114,-19.328,1769255449
-10.3599,-19.0664,1769255456
-10.0081,-18.8055,1769255463
-9.631,-18.5267,1769255470
-9.1277,-18.156,1769255481
-8.775,-17.8971,1769255488
-8.4222,-17.6388,1769255495
-8.0943,-17.3994,1769255501
-7.7411,-17.1421,1769255508
-7.337,-16.8485,1769255516
-6.9328,-16.5556,1769255524
-6.604,-16.3179,1769255531
-6.25,-16.0625,1769255538
-5.9211,-15.8256,1769255544
-5.5667,-15.5708,1769255551
-5.1868,-15.2981,1769255559
-4.8321,-15.044,1769255566
-4.5027,-14.8083,1769255572
-4.1478,-14.5547,1769255579
-3.7926,-14.3013,1769255586
-2.7015,-13.5245,1769255608
